,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
4,4,4,1204,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,7. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
7,7,7,1207,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
31,31,31,1231,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,18. Хаслер,Hasler,"['Nicolas Hasler', 'David Hasler', 'Julien Hasler']",Success
34,34,34,1234,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
45,45,45,1245,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Liechtenstein,LI,21. Б.Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
60,60,60,1260,544,"Euros 2016, Qualifiers",15.11.14,Montenegro vs Sweden,2014,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
74,74,74,1274,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,6. Жардан,Jardin,"['Ion Jardan', 'Vasile Jardan']",Success
77,77,77,1277,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,9. Андрончик,Andronchik,"['Gheorghe Andronic', 'Valeriu Andronic']",Success
82,82,82,1282,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Montenegro,ME,4. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
88,88,88,1288,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
89,89,89,1289,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Montenegro,ME,18. Болевич,Bolevich,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
95,95,95,1295,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
97,97,97,1297,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,13. Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
100,100,0,2300,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Wales,WA,3. Тейлор,Taylor,"['Neil Taylor', 'Jake Taylor']",Success
103,103,3,2303,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Wales,WA,7. Эдвардс,Edwards,"['David Edwards', 'Gwion Edwards']",Success
104,104,4,2304,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Wales,WA,8. Кинг,King,"['Andy King', 'Tom King']",Success
111,111,11,2311,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Israel,IL,4. Биттон,Bitton,"['Nir Bitton', 'Ben Bitton']",Success
120,120,20,2320,1010,"Euros 2024, Qualifiers",14.10.23,Hungary vs Serbia,2023,Serbia,RS,Terzić,Terzić,"['Nikola Terzic', 'Aleksa Terzic']",Success
121,121,21,2321,1638,Nations League 2020-2021,05.09.20,Cyprus vs Montenegro,2020,Montenegro,ME,Boljević,Boljević,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
122,122,22,2322,1639,Nations League 2020-2021,08.09.20,Luxembourg vs Montenegro,2020,Montenegro,ME,Boljević,Boljević,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
123,123,23,2323,1642,Nations League 2020-2021,10.10.20,Montenegro vs Azerbaijan,2020,Montenegro,ME,Boljević,Boljević,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
124,124,24,2324,1648,Nations League 2020-2021,17.11.20,Montenegro vs Cyprus,2020,Montenegro,ME,Boljević,Boljević,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
129,129,29,2329,717,"Euros 2020, Qualifiers",09.09.19,Hungary vs Slovakia,2019,Hungary,HU,9. Сцалай,Scalay,"['Péter Szakály', 'Ádám Szalai', 'Roland Sallai', 'Attila Szalai', 'Gábor Szalai']",Success
133,133,33,2333,727,"Euros 2020, Qualifiers",23.03.19,Malta vs Faroe Islands,2019,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
144,144,44,2344,741,"Euros 2020, Qualifiers",08.09.19,Romania vs Malta,2019,Malta,MT,9. Фарруджа,Farrugia,"['Jean Paul Farrugia', 'Brooke Farrugia']",Success
148,148,48,2348,749,"Euros 2020, Qualifiers",15.10.19,Faroe Islands vs Malta,2019,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
153,153,53,2353,755,"Euros 2020, Qualifiers",18.11.19,Malta vs Norway,2019,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
154,154,54,2354,1796,Nations League 2022-2023,09.06.22,Sweden vs Serbia,2022,Serbia,RS,Terzić,Terzić,"['Nikola Terzic', 'Aleksa Terzic']",Success
158,158,58,2358,662,"Euros 2020, Qualifiers",14.11.19,Portugal vs Lithuania,2019,Portugal,PT,15. Рикарду,Ricardo,"['Ricardo Costa', 'Ricardo Carvalho', 'Ricardo Pereira', 'Ricardo Horta', 'Ricardo Quaresma', 'Ricardo Ferreira']",Success
159,159,59,2359,665,"Euros 2020, Qualifiers",17.11.19,Luxembourg vs Portugal,2019,Portugal,PT,15. Рикарду,Ricardo,"['Ricardo Costa', 'Ricardo Carvalho', 'Ricardo Pereira', 'Ricardo Horta', 'Ricardo Quaresma', 'Ricardo Ferreira']",Success
187,187,87,2387,18,"U-20 World Cup, 2015",02.06.15,Myanmar U-20 vs Ukraine U-20,2015,Myanmar,MM,17. Тиха Хтет Аунг,Tiha Htet Aung,"['Thiha Htet Aung', 'Than Htet Aung']",Success
194,194,94,2394,18,"U-20 World Cup, 2015",02.06.15,Myanmar U-20 vs Ukraine U-20,2015,Myanmar,MM,11. Мг Мг Лвин,Mg Mg Lwin,"['Khin Maung Lwin', 'Maung Maung Lwin']",Success
203,203,3,1503,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Norway,NO,8. Йохансен,Johansen,"['Stefan Johansen', 'Eirik Holmen Johansen']",Success
204,204,4,1504,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Norway,NO,10. Эльюнусси,Elyounoussi,"['Mohamed Elyounoussi', 'Tarik Elyounoussi']",Success
211,211,11,1511,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,2. Попов А.,Popova,"['Strahil Popov', 'Ivelin Popov', 'Apostol Popov', 'Viktor Popov']",Success
213,213,13,1513,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,9. Попов,Popov,"['Strahil Popov', 'Ivelin Popov', 'Apostol Popov', 'Viktor Popov']",Success
215,215,15,1515,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,14. Минев,Minev,"['Veselin Minev', 'Yordan Minev']",Success
217,217,17,1517,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,17. Миланов,Milanov,"['Iliya Milanov', 'Georgi Milanov', 'Zhivko Milanov']",Success
220,220,20,1520,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,22. Илиев,Iliev,"['Plamen Iliev', 'Georgi Iliev', 'Dimitar Iliev', 'Ilian Iliev', 'Atanas Iliev', 'Nikola Iliev']",Success
224,224,24,1524,572,"Euros 2016, Qualifiers",16.11.14,Azerbaijan vs Norway,2014,Azerbaijan,AZ,14. Р.Садыгов,R Sadygov,"['Rashad Sadyqov', 'Rahim Sadykhov']",Success
236,236,36,1536,572,"Euros 2016, Qualifiers",16.11.14,Azerbaijan vs Norway,2014,Norway,NO,8. Йохансен,Johansen,"['Stefan Johansen', 'Eirik Holmen Johansen']",Success
240,240,40,1540,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Bulgaria,BG,1. Стоянов,Stoyanov,"['Vladislav Stoyanov', 'Krum Stoyanov', 'Yoan Stoyanov']",Success
241,241,41,1541,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Bulgaria,BG,4. Терзиев,Terziev,"['Georgi Terziev', 'Radoslav Terziev']",Success
245,245,45,1545,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Bulgaria,BG,7. Александров,Alexandrov,"['Aleksandar Aleksandrov', 'Mihail Aleksandrov', 'Denislav Aleksandrov']",Success
246,246,46,1546,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Bulgaria,BG,9. Попов,Popov,"['Strahil Popov', 'Ivelin Popov', 'Apostol Popov', 'Viktor Popov']",Success
252,252,52,1552,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Malta,MT,2. Каруана,Caruana,"['Jonathan Caruana', 'Tristan Caruana']",Success
257,257,57,1557,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
273,273,73,1573,577,"Euros 2016, Qualifiers",28.03.15,Bulgaria vs Italy,2015,Bulgaria,BG,6. Минев,Minev,"['Veselin Minev', 'Yordan Minev']",Success
277,277,77,1577,577,"Euros 2016, Qualifiers",28.03.15,Bulgaria vs Italy,2015,Bulgaria,BG,17. Миланов,Milanov,"['Iliya Milanov', 'Georgi Milanov', 'Zhivko Milanov']",Success
287,287,87,1587,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,5. Гусейнов,Huseynov,"['Vurgun Hüseynov', 'Badavi Hüseynov', 'Cavid Hüseynov', 'Abbas Hüseynov', 'Calal Hüseynov']",Success
298,298,98,1598,582,"Euros 2016, Qualifiers",03.09.15,Bulgaria vs Norway,2015,Bulgaria,BG,6. Минев,Minev,"['Veselin Minev', 'Yordan Minev']",Success
300,300,0,100,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Denmark,DK,20. Поульсен,Poulsen,"['Jakob Poulsen', 'Simon Poulsen', 'Yussuf Poulsen']",Success
301,301,1,101,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Denmark,DK,23. Хейбьерг,Højbjerg,"['Pierre-Emile Højbjerg', 'Jeppe Højbjerg']",Success
312,312,12,112,609,"Euros 2016, Qualifiers",08.10.15,Albania vs Serbia,2015,Albania,AL,8. Баша,Basha,"['Migjen Basha', 'Vullnet Basha']",Success
316,316,16,116,609,"Euros 2016, Qualifiers",08.10.15,Albania vs Serbia,2015,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
327,327,27,127,612,"Euros 2016, Qualifiers",11.10.15,Serbia vs Portugal,2015,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
329,329,29,129,612,"Euros 2016, Qualifiers",11.10.15,Serbia vs Portugal,2015,Portugal,PT,23. Семеду,Semedo,"['Nélson Semedo', 'Rúben Semedo']",Success
331,331,31,131,639,"Euros 2020, Qualifiers",11.10.19,Montenegro vs Bulgaria,2019,Montenegro,ME,Boljević,Boljević,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
332,332,32,132,641,"Euros 2020, Qualifiers",14.10.19,Kosovo vs Montenegro,2019,Montenegro,ME,Boljević,Boljević,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
343,343,43,143,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Bosnia,BA,9. Ибишевич,Ibishevich,"['Vedad Ibisevic', 'Elvir Ibisevic']",Success
349,349,49,149,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Andorra,AD,2. Мартинес,Martínez,"['Cristian Martínez', 'Alex Martínez']",Success
353,353,53,153,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Andorra,AD,8. Виейра,Vieira,"['Márcio Vieira', 'Xavier Vieira']",Success
362,362,62,162,406,"Euros 2016, Qualifiers",06.09.15,Cyprus vs Belgium,2015,Cyprus,CY,7. Экономидес,Economides,"['Chris Ikonomidis, Georgios Ikonomidis']",Success
369,369,69,169,406,"Euros 2016, Qualifiers",06.09.15,Cyprus vs Belgium,2015,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
377,377,77,177,407,"Euros 2016, Qualifiers",10.10.15,Andorra vs Belgium,2015,Andorra,AD,8. Виейра,Vieira,"['Márcio Vieira', 'Xavier Vieira']",Success
381,381,81,181,408,"Euros 2016, Qualifiers",10.10.15,Bosnia-Herzegovina vs Wales,2015,Bosnia,BA,21. Хаджич,Hadzic,"['Anel Hadzic', 'Irfan Hadzic']",Success
389,389,89,189,409,"Euros 2016, Qualifiers",10.10.15,Israel vs Cyprus,2015,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
398,398,98,198,411,"Euros 2016, Qualifiers",13.10.15,Cyprus vs Bosnia-Herzegovina,2015,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
399,399,99,199,411,"Euros 2016, Qualifiers",13.10.15,Cyprus vs Bosnia-Herzegovina,2015,Bosnia,BA,Vranješ,Vranješ,"['Stojan Vranjes', 'Ognjen Vranjes']",Success
404,404,4,604,477,"Euros 2016, Qualifiers",09.10.14,Lithuania vs Estonia,2014,Lithuania,LT,18. Панка,Punk,"['Mindaugas Panka', 'Ignas Plukas', 'Lukas Paukste']",Success
419,419,19,619,478,"Euros 2016, Qualifiers",09.10.14,Slovenia vs Switzerland,2014,Slovenia,SI,1. Ханданович,Handanović,"['Samir Handanovic', 'Jasmin Handanovic']",Success
422,422,22,622,478,"Euros 2016, Qualifiers",09.10.14,Slovenia vs Switzerland,2014,Slovenia,SI,6. Илич,Ilic,"['Branko Ilic', 'Josip Ilicic']",Success
426,426,26,626,478,"Euros 2016, Qualifiers",09.10.14,Slovenia vs Switzerland,2014,Slovenia,SI,15. Штруна,String,"['Andraz Struna', 'Aljaz Struna']",Success
435,435,35,635,479,"Euros 2016, Qualifiers",12.10.14,Estonia vs England,2014,Estonia,EE,14. Васильев,Vasilyev,"['Konstantin Vassiljev', 'Nikita Vassiljev']",Success
444,444,44,644,479,"Euros 2016, Qualifiers",12.10.14,Estonia vs England,2014,England,EN,4. Хендерсон,Henderson,"['Jordan Henderson', 'Dean Henderson']",Success
458,458,58,658,480,"Euros 2016, Qualifiers",12.10.14,Lithuania vs Slovenia,2014,Lithuania,LT,18. Панка,Punk,"['Mindaugas Panka', 'Ignas Plukas', 'Lukas Paukste']",Success
459,459,59,659,480,"Euros 2016, Qualifiers",12.10.14,Lithuania vs Slovenia,2014,Slovenia,SI,1. Ханданович,Handanović,"['Samir Handanovic', 'Jasmin Handanovic']",Success
462,462,62,662,480,"Euros 2016, Qualifiers",12.10.14,Lithuania vs Slovenia,2014,Slovenia,SI,6. Илич,Ilic,"['Branko Ilic', 'Josip Ilicic']",Success
463,463,63,663,480,"Euros 2016, Qualifiers",12.10.14,Lithuania vs Slovenia,2014,Slovenia,SI,15. Струна,String (music),"['Aljaz Struna', 'Andraz Struna']",Success
470,470,70,670,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,San Marino,SM,1. Симончини,Simoncini,"['Aldo Simoncini', 'Davide Simoncini', 'Michael Simoncini']",Success
472,472,72,672,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,San Marino,SM,3. Баттистини,Battistini,"['Manuel Battistini', 'Michael Battistini']",Success
479,479,79,679,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,San Marino,SM,10. Гасперони,Gasperoni,"['Frederico Gasperoni', 'Alex Gasperoni', 'Lorenzo Gasperoni']",Success
482,482,82,682,482,"Euros 2016, Qualifiers",15.11.14,England vs Slovenia,2014,Slovenia,SI,1. Ханданович,Handanović,"['Samir Handanovic', 'Jasmin Handanovic']",Success
486,486,86,686,482,"Euros 2016, Qualifiers",15.11.14,England vs Slovenia,2014,Slovenia,SI,15. Струна,String (music),"['Aljaz Struna', 'Andraz Struna']",Success
505,505,5,1905,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Czech,CZ,Kolář,Kolář,"['Ondrej Kolar', 'Daniel Kolar']",Success
506,506,6,1906,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,1. Хадльдорссон,Haldorsson,"['Hannes Thór Halldórsson', 'Hilmar Árni Halldórsson']",Success
512,512,12,1912,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,17. Гуннарссон,Gunnarsson,"['Aron Gunnarsson', 'Patrik Gunnarsson', 'Hördur Ingi Gunnarsson']",Success
513,513,13,1913,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,18. Бьярнасон,Bjarnason,"['Birkir Bjarnason', 'Elmar Bjarnason', 'Andri Rúnar Bjarnason', 'Brynjar Ingi Bjarnason', 'Aron Bjarnason']",Success
516,516,16,1916,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,23. Скуласон,Skulason,"['Ólafur Ingi Skúlason', 'Ari Freyr Skúlason']",Success
522,522,22,1922,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Netherlands,NL,6. де Йонг,de Jong,"['Nigel de Jong', 'Siem de Jong', 'Luuk de Jong', 'Frenkie de Jong']",Success
532,532,32,1932,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Latvia,LV,8. Икауниекс,Ikaunieks,"['Janis Ikaunieks', 'Davis Ikaunieks']",Success
539,539,39,1939,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Turkey,TR,23. Волкан,Volkan,"['Volkan Demirel', 'Volkan Babacan', 'Volkan Şen']",Success
542,542,42,1942,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Turkey,TR,9. Булут,Bulut,"['Umut Bulut', 'Onur Bulut']",Success
543,543,43,1943,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Turkey,TR,10. Арда,Arda,"['Arda Turan', 'Arda Güler']",Success
547,547,47,1947,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Turkey,TR,16. Озан,Ozan,"['Ozan Tufan', 'Ozan Kabak']",Success
559,559,59,1959,362,"Euros 2016, Qualifiers",16.11.14,Netherlands vs Latvia,2014,Latvia,LV,14. Икауниекс,Ikaunieks,"['Janis Ikaunieks', 'Davis Ikaunieks']",Success
565,565,65,1965,363,"Euros 2016, Qualifiers",16.11.14,Czech vs Iceland,2014,Iceland,IS,1. Хадльдорссон,Haldorsson,"['Hannes Thór Halldórsson', 'Hilmar Árni Halldórsson']",Success
567,567,67,1967,363,"Euros 2016, Qualifiers",16.11.14,Czech vs Iceland,2014,Iceland,IS,17. Гуннарссон,Gunnarsson,"['Aron Gunnarsson', 'Patrik Gunnarsson', 'Hördur Ingi Gunnarsson']",Success
570,570,70,1970,364,"Euros 2016, Qualifiers",16.11.14,Turkey vs Kazakhstan,2014,Turkey,TR,1. Волкан,Volkan,"['Volkan Demirel', 'Volkan Babacan', 'Volkan Şen']",Success
574,574,74,1974,364,"Euros 2016, Qualifiers",16.11.14,Turkey vs Kazakhstan,2014,Turkey,TR,16. Озан,Ozan,"['Ozan Tufan', 'Ozan Kabak']",Success
602,602,2,802,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,18. Панка,Punk,"['Mindaugas Panka', 'Ignas Plukas', 'Lukas Paukste']",Success
604,604,4,804,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,4. Делла Валле,Della Valle,"['Alessandro Della Valle', 'Alex Della Valle']",Success
607,607,7,807,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,13. Берарди,Berardi,"['Marco Berardi', 'Filippo Berardi']",Success
