,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
2037,2037,93,1793,1523,Nations League 2018-2020,20.11.18,Malta vs Faroe Islands,2018,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
2046,2046,2,302,425,"Euros 2016, Qualifiers",27.03.15,North Macedonia vs Belarus,2015,N. Macedonia,MK,2. Гиоргиевски,Georgievski,"['Daniel Georgievski', 'Slavco Georgievski']",Success
2082,2082,38,338,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,4. Делгаду,Delgado,"['Ricardo Delgado', 'Gilson Delgado']",Success
2085,2085,41,341,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,7. Жерсон,Gerson,"['Lars Gerson', 'Gerson Rodrigues']",Success
2086,2086,42,342,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,8. Мартинс,Martins,"['Marvin Martins', 'Christopher Martins Pereira']",Success
2094,2094,50,350,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,13. Ристовски,Ristowski,"['Stefan Ristovski', 'Milan Ristovski']",Success
2096,2096,52,352,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,10. Ибраими,Ibraimi,"['Agim Ibraimi', 'Besart Ibraimi']",Success
2097,2097,53,353,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,16. Глигоров,Gligorov,"['Nikola Gligorov', 'Gligor Gligorov']",Success
2101,2101,57,357,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,21. Ивановски,Ivanovsky,"['Daniel Ivanovski', 'Mirko Ivanovski', 'Filip Ivanovski']",Success
2126,2126,82,382,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,16.  Глигоров,Gligorov,"['Nikola Gligorov', 'Gligor Gligorov']",Success
2130,2130,86,386,436,"Euros 2016, Qualifiers",08.09.15,Slovakia vs Ukraine,2015,Slovakia,SK,uriš,uriš,"['David Duris', 'Michal Duris']",Success
2138,2138,94,394,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,8. Алими,Alimi,"['Armend Alimi', 'Isnik Alimi']",Success
2158,2158,14,1114,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,14. Ванхамар,Vanhamar,"['Sölvi Vatnhamar', 'Gunnar Vatnhamar']",Success
2168,2168,24,1124,531,"Euros 2016, Qualifiers",11.10.15,Finland vs Northern Ireland,2015,Finland,FI,7. Ояла,Ojala,"['Juhani Ojala', 'Mika Ojala']",Success
2190,2190,46,1146,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
2201,2201,57,1157,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
2203,2203,59,1159,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,13. Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
2205,2205,61,1161,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,18. Хаслер,Hasler,"['Nicolas Hasler', 'David Hasler', 'Julien Hasler']",Success
2212,2212,68,1168,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Montenegro,ME,7. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
2268,2268,24,1824,3906,"World Cup 2014, Qualifiers, CONCACAF",12-Jun-12,Guatemala vs USA,2012,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
2269,2269,25,1825,3929,"World Cup 2014, Qualifiers, CONCACAF",16-Oct-12,USA vs Guatemala,2012,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
2274,2274,30,1830,820,"Euros 2020, Qualifiers",24.03.19,San Marino vs Scotland,2019,Scotland,SC,7. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
2281,2281,37,1837,826,"Euros 2020, Qualifiers",11.06.19,Belgium vs Scotland,2019,Scotland,SC,17. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
2298,2298,54,1854,852,"Euros 2020, Qualifiers",08.06.19,Finland vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
2300,2300,56,1856,855,"Euros 2020, Qualifiers",11.06.19,Italy vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
2310,2310,66,1866,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,1. Хадльдорссон,Haldorsson,"['Hannes Thór Halldórsson', 'Hilmar Árni Halldórsson']",Success
2312,2312,68,1868,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,17. Гуннарссон,Gunnarsson,"['Aron Gunnarsson', 'Patrik Gunnarsson', 'Hördur Ingi Gunnarsson']",Success
2336,2336,92,1892,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,9. Булут,Bulut,"['Umut Bulut', 'Onur Bulut']",Success
2353,2353,9,2509,159,World Cup 2014,12.07.14,Brazil vs Netherlands,2014,Brazil,BR,21. Жо,Jo,"['Jô', 'Jorge', 'Jonas', 'Willian José', 'Joelinton', 'João Gomes', 'João Pedro']",Success
2389,2389,45,2545,177,World Cup 2014,19.06.14,Cameroon vs Croatia,2014,Cameroon,CM,10. Абубакар,Abubakar,"['Vincent Aboubakar', 'Aboubakar Oumarou']",Success
2393,2393,49,2549,178,World Cup 2014,23.06.14,Cameroon vs Brazil,2014,Cameroon,CM,10. Абубакар,Abubakar,"['Vincent Aboubakar', 'Aboubakar Oumarou']",Success
2398,2398,54,2554,181,World Cup 2014,14.06.14,Chile vs Australia,2014,Australia,AU,2. Франжич,Franžič,"['Ivan Franjic', 'Tyrese Francois']",Success
2417,2417,73,2573,184,World Cup 2014,23.06.14,Australia vs Spain,2014,Spain,ES,7. Вилья,Vilya,"['David Villa', 'Gonzalo Villar']",Success
2420,2420,76,2576,186,World Cup 2014,14.06.14,Colombia vs Greece,2014,Greece,GR,21. Кацуранис,Kacuranis,"['Orestis Karnezis', 'Konstantinos Katsouranis', 'Georgios Karagounis']",Success
2436,2436,92,2592,189,World Cup 2014,20.06.14,Japan vs Greece,2014,Greece,GR,21. Кацуранис,Kacuranis,"['Orestis Karnezis', 'Konstantinos Katsouranis', 'Georgios Karagounis']",Success
2445,2445,1,2201,390,"Euros 2016, Qualifiers",13.10.14,Wales vs Cyprus,2014,Cyprus,CY,8. Кириаку,Kyriakou,"['Charalampos Kyriakou', 'Andreas Kyriakou', 'Vangelis Kyriakou']",Success
2451,2451,7,2207,390,"Euros 2016, Qualifiers",13.10.14,Wales vs Cyprus,2014,Cyprus,CY,20. Сотириу,Sotiriu,"['Pieros Sotiriou', 'Konstantinos Sotiriou']",Success
2452,2452,8,2208,390,"Euros 2016, Qualifiers",13.10.14,Wales vs Cyprus,2014,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
2471,2471,27,2227,392,"Euros 2016, Qualifiers",16.11.14,Cyprus vs Andorra,2014,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
2474,2474,30,2230,392,"Euros 2016, Qualifiers",16.11.14,Cyprus vs Andorra,2014,Andorra,AD,3. Валес,Vales,"['Marc Vales', 'Eric Vales']",Success
2495,2495,51,2251,393,"Euros 2016, Qualifiers",16.11.14,Israel vs Bosnia-Herzegovina,2014,Bosnia,BA,21. Хаджич,Hadzic,"['Anel Hadzic', 'Irfan Hadzic']",Success
2497,2497,53,2253,401,"Euros 2016, Qualifiers",03.09.15,Belgium vs Bosnia-Herzegovina,2015,Bosnia,BA,Vranješ,Vranješ,"['Stojan Vranjes', 'Ognjen Vranjes']",Success
2501,2501,57,2257,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Cyprus,CY,7. Экономидес,Economides,"['Chris Ikonomidis, Georgios Ikonomidis']",Success
2508,2508,64,2264,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
2511,2511,67,2267,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Wales,WA,3. Тейлор,Taylor,"['Neil Taylor', 'Jake Taylor']",Success
2513,2513,69,2269,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Wales,WA,6. Уильямс,Williams,"['Owain Fôn Williams', 'Ashley Williams', 'Jonathan Williams', 'George Williams', 'MJ Williams', 'Neco Williams']",Success
2514,2514,70,2270,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Wales,WA,7. Эдвардс,Edwards,"['David Edwards', 'Gwion Edwards']",Success
2515,2515,71,2271,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Wales,WA,8. Кинг,King,"['Andy King', 'Tom King']",Success
2522,2522,78,2278,403,"Euros 2016, Qualifiers",03.09.15,Israel vs Andorra,2015,Israel,IL,4. Биттон,Bitton,"['Nir Bitton', 'Ben Bitton']",Success
2532,2532,88,2288,403,"Euros 2016, Qualifiers",03.09.15,Israel vs Andorra,2015,Andorra,AD,2. Мартинес,Martínez,"['Cristian Martínez', 'Alex Martínez']",Success
2536,2536,92,2292,403,"Euros 2016, Qualifiers",03.09.15,Israel vs Andorra,2015,Andorra,AD,8. Виейра,Vieira,"['Márcio Vieira', 'Xavier Vieira']",Success
2544,2544,0,1300,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,18. Хаслер,Hasler,"['Nicolas Hasler', 'David Hasler', 'Julien Hasler']",Success
2549,2549,5,1305,554,"Euros 2016, Qualifiers",08.09.15,Liechtenstein vs Russia,2015,Liechtenstein,LI,18. Хаслер,Hasler,"['Nicolas Hasler', 'David Hasler', 'Julien Hasler']",Success
2555,2555,11,1311,4114,"World Cup 2022, Qualifiers, CONCACAF",04-Jun-21,Guatemala vs Saint Vincent and the Grenadines,2021,Guatemala,GT,Santís,Santís,"['Oscar Santis', 'Diego Santis', 'Óscar Santis']",Success
2556,2556,12,1312,4132,"World Cup 2022, Qualifiers, CONCACAF",08-Jun-21,Curaçao vs Guatemala,2021,Guatemala,GT,Santís,Santís,"['Oscar Santis', 'Diego Santis', 'Óscar Santis']",Success
2557,2557,13,1313,4407,"World Cup 2022, Qualifiers, CONMEBOL",09-Sep-21,Brazil vs Peru,2021,Peru,PE,Gonzáles,Gonzáles,"['Christofer Gonzales', 'Jairsinho Gonzales']",Success
2558,2558,14,1314,4415,"World Cup 2022, Qualifiers, CONMEBOL",10-Oct-21,Bolivia vs Peru,2021,Peru,PE,Gonzáles,Gonzáles,"['Christofer Gonzales', 'Jairsinho Gonzales']",Success
2559,2559,15,1315,4421,"World Cup 2022, Qualifiers, CONMEBOL",14-Oct-21,Argentina vs Peru,2021,Peru,PE,Gonzáles,Gonzáles,"['Christofer Gonzales', 'Jairsinho Gonzales']",Success
2560,2560,16,1316,4425,"World Cup 2022, Qualifiers, CONMEBOL",11-Nov-21,Peru vs Bolivia,2021,Peru,PE,Gonzáles,Gonzáles,"['Christofer Gonzales', 'Jairsinho Gonzales']",Success
2562,2562,18,1318,4372,"World Cup 2022, Qualifiers, CONMEBOL",13-Oct-20,Peru vs Brazil,2020,Peru,PE,Gonzáles,Gonzáles,"['Christofer Gonzales', 'Jairsinho Gonzales']",Success
2570,2570,26,1326,864,"Euros 2020, Qualifiers",12.10.19,Bosnia-Herzegovina vs Finland,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
2573,2573,29,1329,868,"Euros 2020, Qualifiers",15.10.19,Greece vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
2580,2580,36,1336,875,"Euros 2020, Qualifiers",18.11.19,Liechtenstein vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
2597,2597,53,1353,557,"Euros 2016, Qualifiers",09.10.15,Liechtenstein vs Sweden,2015,Liechtenstein,LI,7. Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
2619,2619,75,1375,560,"Euros 2016, Qualifiers",12.10.15,Austria vs Liechtenstein,2015,Liechtenstein,LI,7. Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
2623,2623,79,1379,561,"Euros 2016, Qualifiers",12.10.15,Russia vs Montenegro,2015,Montenegro,ME,4. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
2627,2627,83,1383,561,"Euros 2016, Qualifiers",12.10.15,Russia vs Montenegro,2015,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
2653,2653,9,709,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,Estonia,EE,6. Дмитриев,Dmitriev,"['Aleksandr Dmitrijev', 'Artjom Dmitrijev']",Success
2654,2654,10,710,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,Estonia,EE,11. Оямаа,Ojamaa,"['Henrik Ojamaa', 'Hindrek Ojamaa']",Success
2655,2655,11,711,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,Estonia,EE,14. Васильев,Vasilyev,"['Konstantin Vassiljev', 'Nikita Vassiljev']",Success
2673,2673,29,729,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Estonia,EE,6. Дмитриев,Dmitriev,"['Aleksandr Dmitrijev', 'Artjom Dmitrijev']",Success
2674,2674,30,730,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Estonia,EE,14. Васильев,Vasilyev,"['Konstantin Vassiljev', 'Nikita Vassiljev']",Success
2676,2676,32,732,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Estonia,EE,9. Пурье,Purier,"['Sander Puri', 'Eino Puri']",Success
2680,2680,36,736,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Lithuania,LT,18. Панка,Punk,"['Mindaugas Panka', 'Ignas Plukas', 'Lukas Paukste']",Success
2686,2686,42,742,492,"Euros 2016, Qualifiers",05.09.15,San Marino vs England,2015,San Marino,SM,3. Берарди,Berardi,"['Marco Berardi', 'Filippo Berardi']",Success
2689,2689,45,745,492,"Euros 2016, Qualifiers",05.09.15,San Marino vs England,2015,San Marino,SM,8. Баттистини,Battistini,"['Manuel Battistini', 'Michael Battistini']",Success
2699,2699,55,755,493,"Euros 2016, Qualifiers",05.09.15,Switzerland vs Slovenia,2015,Slovenia,SI,1. Ханданович,Handanović,"['Samir Handanovic', 'Jasmin Handanovic']",Success
2702,2702,58,758,493,"Euros 2016, Qualifiers",05.09.15,Switzerland vs Slovenia,2015,Slovenia,SI,6. Илич,Ilic,"['Branko Ilic', 'Josip Ilicic']",Success
2708,2708,64,764,493,"Euros 2016, Qualifiers",05.09.15,Switzerland vs Slovenia,2015,Slovenia,SI,15. Струна,String (music),"['Aljaz Struna', 'Andraz Struna']",Success
2717,2717,73,773,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,San Marino,SM,1. Бенедеттини,Benedettini,"['Giacomo Benedettini', 'Elia Benedettini', 'Simone Benedettini']",Success
2718,2718,74,774,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,San Marino,SM,4. Витайоли,Vitaioli,"['Fabio Vitaioli', 'Matteo Vitaioli']",Success
2719,2719,75,775,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,San Marino,SM,5. Делла Валле,Della Valle,"['Alessandro Della Valle', 'Alex Della Valle']",Success
2721,2721,77,777,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,San Marino,SM,7. Витайоли,Vitaioli,"['Fabio Vitaioli', 'Matteo Vitaioli']",Success
2723,2723,79,779,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,San Marino,SM,2. Баттистини,Battistini,"['Manuel Battistini', 'Michael Battistini']",Success
2725,2725,81,781,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,San Marino,SM,8. Гасперони,Gasperoni,"['Frederico Gasperoni', 'Alex Gasperoni', 'Lorenzo Gasperoni']",Success
2744,2744,0,1400,565,"Euros 2016, Qualifiers",09.09.14,Norway vs Italy,2014,Norway,NO,8. Йохансен,Johansen,"['Stefan Johansen', 'Eirik Holmen Johansen']",Success
2749,2749,5,1405,565,"Euros 2016, Qualifiers",09.09.14,Norway vs Italy,2014,Norway,NO,19. Иттергор-Йенсен,Yttergaard Jensen,"['Ruben Yttergård Jenssen', 'Ulrik Yttergård Jenssen']",Success
2753,2753,9,1409,566,"Euros 2016, Qualifiers",10.10.14,Bulgaria vs Croatia,2014,Bulgaria,BG,1. Стоянов,Stoyanov,"['Vladislav Stoyanov', 'Krum Stoyanov', 'Yoan Stoyanov']",Success
2754,2754,10,1410,566,"Euros 2016, Qualifiers",10.10.14,Bulgaria vs Croatia,2014,Bulgaria,BG,2. Попов А,Popova,"['Strahil Popov', 'Ivelin Popov', 'Apostol Popov', 'Viktor Popov']",Success
2757,2757,13,1413,566,"Euros 2016, Qualifiers",10.10.14,Bulgaria vs Croatia,2014,Bulgaria,BG,6. Минев,Minev,"['Veselin Minev', 'Yordan Minev']",Success
2760,2760,16,1416,566,"Euros 2016, Qualifiers",10.10.14,Bulgaria vs Croatia,2014,Bulgaria,BG,17. Миланов,Milanov,"['Iliya Milanov', 'Georgi Milanov', 'Zhivko Milanov']",Success
2776,2776,32,1432,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,1. Агаев,Agayev,"['Kamran Agayev', 'Salahat Agayev']",Success
2782,2782,38,1438,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,10. Дадашов,Dadashov,"['Rufat Dadashov', 'Renat Dadashov']",Success
2793,2793,49,1449,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
2794,2794,50,1450,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
2797,2797,53,1453,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Malta,MT,17. Камиллери,Camilleri,"['Ryan Camilleri', 'Dale Camilleri']",Success
2802,2802,58,1458,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Norway,NO,8. Йохансен,Johansen,"['Stefan Johansen', 'Eirik Holmen Johansen']",Success
2803,2803,59,1459,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Norway,NO,10. Эльюнусси,Elyounoussi,"['Mohamed Elyounoussi', 'Tarik Elyounoussi']",Success
2820,2820,76,1476,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,1. Агаев,Agayev,"['Kamran Agayev', 'Salahat Agayev']",Success
2824,2824,80,1480,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,6. Гусейнов,Huseynov,"['Vurgun Hüseynov', 'Badavi Hüseynov', 'Cavid Hüseynov', 'Abbas Hüseynov', 'Calal Hüseynov']",Success
2836,2836,92,1492,570,"Euros 2016, Qualifiers",13.10.14,Malta vs Italy,2014,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
2837,2837,93,1493,570,"Euros 2016, Qualifiers",13.10.14,Malta vs Italy,2014,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
2838,2838,94,1494,570,"Euros 2016, Qualifiers",13.10.14,Malta vs Italy,2014,Malta,MT,11. Мускат,Muscat,"['Zach Muscat', 'Manny Muscat', 'Alex Muscat', 'Rowen Muscat', 'Nicky Muscat', 'Joe Muscatt']",Success
2841,2841,97,1497,570,"Euros 2016, Qualifiers",13.10.14,Malta vs Italy,2014,Malta,MT,17. Камиллери,Camilleri,"['Ryan Camilleri', 'Dale Camilleri']",Success
